"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "XML", "Prisma", "Markdown", "PL/SQL", "YAML", "PostCSS", "comment", "blank", "total"
"e:\FYP\educonnect-fyp\prisma\migrations\20240914043049_add_hashtags_links_to_post\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 4
"e:\FYP\educonnect-fyp\prisma\migrations\20240914043418_fix_ondelete_referential_actions\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 21, 21, 64
"e:\FYP\educonnect-fyp\prisma\migrations\20240914043508_add_fil_urls_to_post\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"e:\FYP\educonnect-fyp\prisma\migrations\20240914063335_remove_url_hastag_links_from_post\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 10, 1, 16
"e:\FYP\educonnect-fyp\prisma\migrations\20240914124629_update_types_of_reaction\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 8, 2, 13
"e:\FYP\educonnect-fyp\prisma\migrations\20240914140203_update_types_of_reaction\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 2, 12
"e:\FYP\educonnect-fyp\prisma\migrations\20240915124405_update_role_on_user\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 8, 2, 13
"e:\FYP\educonnect-fyp\prisma\migrations\20240915125352_update_role_on_user\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 8, 2, 13
"e:\FYP\educonnect-fyp\prisma\migrations\20240919154338_add_composite_unique_constraint\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 1, 9
"e:\FYP\educonnect-fyp\prisma\migrations\20240925075659_chat_feature\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 20, 15, 64
"e:\FYP\educonnect-fyp\prisma\migrations\20240925140944_update_message_model\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 2, 8
"e:\FYP\educonnect-fyp\prisma\migrations\20240925141259_update_message_model\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
